date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
25/4/20 15:10,PAYMENT RECEIVED,2000,0,79946d14f6e86b2a54968e4bfa58cc65500e9807ef1568ab90f45b50f81595ff,11509.16568
20/3/20 3:45,PAYMENT SENT,0,-87012.71335,a8cfd0b6808877d86af02774087620b9f08281049ce95fbe40af3771763ef2c0,1370.844352
12/3/20 2:27,PAYMENT RECEIVED,1370.844352,0,1be2b306759d25b9c64fb3df4cab46402ec4b7ddeac7f6cec4070d795a1f050e,88383.5577
11/3/20 22:57,PAYMENT SENT,0,-306.0000454,92763fb998275b416cc1d14e698c240996e7d617731b92e8366caa77f8d53344,87012.71335
11/3/20 22:57,PAYMENT SENT,0,-201.0023887,9896ad869f6e87f125e7f9d9cc08777e135737b9850573724a826bab51faef5f,87318.71339
9/3/20 9:21,PAYMENT RECEIVED,6.00E-06,0,78adba8b62913426c64302cefe60c88a75163bc755ced523b2ff09dba2dbcc77,87519.71578
7/3/20 19:22,PAYMENT RECEIVED,6.00E-06,0,50be48c85a880e857cf71d21099c06e4e0793a483a920ebe77b0fa5bfb1e5628,87519.71577
5/3/20 18:33,PAYMENT RECEIVED,1142.903563,0,977db35b0669a58cb97de49c3e097ad9e012e10d5d1e7dcb5e7c73666280e1f7,87519.71577
5/3/20 12:30,PAYMENT RECEIVED,1052.403974,0,f132cd80b389865bb7a516b6cf081c73ea10b2bfbab46b79145468cd731f8109,86376.8122
4/3/20 12:28,PAYMENT RECEIVED,1056.088129,0,d8039c7c447aeb9449343370473238762aa89ce033c752c94e3c851fb9d72e60,85324.40823
1/3/20 6:15,PAYMENT RECEIVED,1094.218471,0,991f71a1086f08ea41822376fe3c0e5d7719af9bf8524b8a070a2fc13ec7ba34,84268.3201
28/2/20 20:53,PAYMENT RECEIVED,2000,0,b995c52da92f5fb8485493f5bdfadcd012251e1c9ff7867a22cd963c00c75a18,83174.10163
28/2/20 20:53,PAYMENT RECEIVED,321.0136435,0,347423d4b2dd3c4b38b3d3373389977210fccfb564fc4d1792dfa8dc4039674a,81174.10163
28/2/20 16:43,PAYMENT RECEIVED,1067.260473,0,d196276f8d2b285824211828ad16051b0a1a72f15c521ba0b40d4e20584a928a,80853.08799
28/2/20 3:47,PAYMENT RECEIVED,1065.198736,0,91c493004775039606e4c477116b01e3e913faff1a2d102769ec066f6147821a,79785.82751
27/2/20 2:16,PAYMENT RECEIVED,1087.16793,0,cd1caa837a05fa7d40a2cd3f6c48a5eca96453b3e2decc92dd626864e40110a1,78720.62878
26/2/20 18:14,PAYMENT RECEIVED,2000,0,c52fd15558938f9ebe7ec5d408f9017d91ac05e97211b7428927b87209ea853a,76947.41969
26/2/20 18:14,PAYMENT RECEIVED,686.0411592,0,452ebfe9f9639e26d0702aafe762a1af96039bc8cf4b814c6b64235ad1aea686,77633.46085
20/2/20 7:54,PAYMENT SENT,0,-21022.70335,a70d7e9db00d7faa6225a7bed0711bd76f850b396f5772e63d5a8a44dc269942,74947.41969
17/2/20 16:27,PAYMENT RECEIVED,1209.470777,0,48a360d8acd0016b3a903bec2f8ed78f5fc1bbf11e2c09322f2f33722fff9ff8,95970.12304
12/2/20 10:25,PAYMENT RECEIVED,1475.635027,0,88e6a263cfc893fee27ab5fc0b3f78c8cabb86f4936d1b99aef6f6d81f30adb0,94760.65226
